Assay Catagories	CARMEN-Annotations	DeepSEA	DeepSEA-Downsampling
Transcription Factor Binding	0.920391596	0.859807842	0.981281452
Transcription Factor Binding	0.966344801	0.900678121	0.979926176
Transcription Factor Binding	0.981534612	0.917012442	0.983101141
Transcription Factor Binding	0.965529014	0.899442773	0.977682417
Transcription Factor Binding	0.923091866	0.848677092	0.986888933
Transcription Factor Binding	0.978074252	0.898262337	0.980547313
Transcription Factor Binding	0.976875478	0.897626983	0.984648043
Transcription Factor Binding	0.9262372	0.845105762	0.979003745
Transcription Factor Binding	0.952282806	0.864564285	0.971821261
Transcription Factor Binding	0.989054932	0.874915349	0.974716395
Transcription Factor Binding	0.96521297	0.8494893	0.983794894
Transcription Factor Binding	0.82539912	0.663888085	0.933327377
Histone Markers	0.727735381	0.864055626	0.849189461
Histone Markers	0.710015841	0.793253397	0.798973581
Histone Markers	0.730934572	0.808862625	0.853806186
Histone Markers	0.901646453	0.975875068	0.88675697
Histone Markers	0.756186857	0.822731426	0.819961266
Histone Markers	0.800329645	0.863633544	0.852442534
Histone Markers	0.897056045	0.954684021	0.892114425
Histone Markers	0.822285189	0.878682327	0.85653179
Histone Markers	0.885844466	0.942126729	0.8638643
Histone Markers	0.840349456	0.896572791	0.955073329
Histone Markers	0.763667133	0.819250503	0.852556465
Histone Markers	0.794271402	0.848327563	0.877155717
Histone Markers	0.722617833	0.769437441	0.787645517
Histone Markers	0.822427701	0.86898309	0.855016938
Histone Markers	0.845382473	0.886542685	0.846857195
Histone Markers	0.799977088	0.852637767	0.90910323
Histone Markers	0.880745984	0.919771445	0.975655419
Histone Markers	0.75722197	0.793169799	0.898135351
Histone Markers	0.847276429	0.883647778	0.877811325
Histone Markers	0.756273371	0.789815069	0.847965083
Histone Markers	0.797724625	0.834274015	0.940678498
Histone Markers	0.773348909	0.807465835	0.817919026
Histone Markers	0.737583343	0.77057732	0.865518538
Histone Markers	0.774249404	0.807208262	0.856610674
Histone Markers	0.762554406	0.79487771	0.918668072
Histone Markers	0.88666279	0.912941488	0.829433717
Histone Markers	0.901941739	0.927049068	0.858925584
Histone Markers	0.855430063	0.881435935	0.853045137
Histone Markers	0.729477057	0.752118164	0.850427201
Histone Markers	0.933977164	0.955764483	0.783117459
Histone Markers	0.87116616	0.895148203	0.795169643
Histone Markers	0.828389327	0.850121839	0.875646303
Histone Markers	0.924037738	0.9467853	0.892746092
Histone Markers	0.831963768	0.851935222	0.804593371
Histone Markers	0.893617694	0.913910009	0.876851993
Histone Markers	0.837939902	0.85577742	0.845507531
Histone Markers	0.88796637	0.909013415	0.881746744
Histone Markers	0.866547936	0.88644934	0.795292664
Histone Markers	0.738662457	0.756955851	0.794306211
Histone Markers	0.896505344	0.909884497	0.753919232
Histone Markers	0.893222228	0.904843145	0.803640229
Histone Markers	0.868476063	0.881215023	0.894634031
Histone Markers	0.870262465	0.879300676	0.885250429
Histone Markers	0.786303387	0.797300125	0.766096604
Histone Markers	0.873900851	0.882343773	0.907893443
Histone Markers	0.850136909	0.858919871	0.81447667
Histone Markers	0.774814442	0.782973876	0.749359454
Histone Markers	0.853940858	0.860586294	0.846361663
Histone Markers	0.920259676	0.926982544	0.925909633
Histone Markers	0.874078333	0.878500794	0.879172736
Histone Markers	0.883081957	0.885739743	0.800371961
Histone Markers	0.941638088	0.940702611	0.84557016
Histone Markers	0.784982788	0.783730896	0.858505906
Histone Markers	0.801756323	0.800115089	0.792440559
Histone Markers	0.852458951	0.849496802	0.793915353
Histone Markers	0.802077049	0.79589153	0.88121724
Histone Markers	0.804418019	0.797057481	0.939936656
Histone Markers	0.816755668	0.807280998	0.789670388
Histone Markers	0.798781707	0.787930951	0.919691683
Histone Markers	0.862998652	0.848721749	0.868008584
Histone Markers	0.809111608	0.794500485	0.884205964
Histone Markers	0.871869443	0.856293606	0.832268266
Histone Markers	0.865007674	0.850005808	0.862709987
Histone Markers	0.886820324	0.863407124	0.789645994
Histone Markers	0.899072249	0.875457392	0.911807765
Histone Markers	0.924482605	0.899505858	0.789623617
Histone Markers	0.891500908	0.870666876	0.8159185
Histone Markers	0.899855221	0.867600161	0.92587356
Histone Markers	0.961084925	0.919454075	0.849679729
Histone Markers	0.928252811	0.887574475	0.849251453
Histone Markers	0.937026384	0.887357172	0.879102814
Histone Markers	0.903032354	0.852639587	0.790557545
Histone Markers	0.912164201	0.856771026	0.876030652
Histone Markers	0.848568338	0.792085568	0.953644112
Histone Markers	0.857903278	0.79927369	0.795637755
Histone Markers	0.91783709	0.855361559	0.945626958
Histone Markers	0.944171175	0.880763544	0.897985586
Histone Markers	0.933464045	0.857873957	0.885152201
Histone Markers	0.930490044	0.854260176	0.805149594
Histone Markers	0.904134077	0.824878544	0.781946048
Histone Markers	0.894298736	0.816711468	0.770102793
Histone Markers	0.936603787	0.852599169	0.789381093
Histone Markers	0.89514395	0.802550874	0.865762999
Histone Markers	0.925187142	0.832206416	0.912546256
Histone Markers	0.905877265	0.793156759	0.781148535
Histone Markers	0.944859162	0.79713282	0.808174919
